TITLE	G4_np
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	25/05/09
TIME	12:30:52
SPECTROMETER/DATA SYSTEM	
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	  800.0000
LASTX	  350.0000
NPOINTS	     451
FIRSTY	     0.0037
MAXY	     0.84766
MINY	     0.0037
XYDATA
800	0.0037
799	0.00381
798	0.00383
797	0.00391
796	0.00409
795	0.00428
794	0.00438
793	0.00457
792	0.00474
791	0.00499
790	0.00508
789	0.00523
788	0.0054
787	0.00542
786	0.00556
785	0.00572
784	0.00592
783	0.00595
782	0.00608
781	0.00621
780	0.00631
779	0.00638
778	0.00642
777	0.00667
776	0.00682
775	0.00713
774	0.00734
773	0.00757
772	0.00777
771	0.00794
770	0.0081
769	0.00825
768	0.00847
767	0.00865
766	0.00873
765	0.009
764	0.00907
763	0.00923
762	0.00942
761	0.00962
760	0.00973
759	0.00995
758	0.0101
757	0.0104
756	0.01051
755	0.01072
754	0.01095
753	0.01112
752	0.01126
751	0.01147
750	0.01172
749	0.01196
748	0.01217
747	0.01245
746	0.01271
745	0.01291
744	0.01316
743	0.0134
742	0.01357
741	0.01377
740	0.01412
739	0.01436
738	0.01458
737	0.01487
736	0.01506
735	0.01524
734	0.01554
733	0.0159
732	0.0162
731	0.01645
730	0.0168
729	0.01711
728	0.01751
727	0.01771
726	0.01796
725	0.01826
724	0.01855
723	0.01885
722	0.01923
721	0.01959
720	0.01989
719	0.02018
718	0.02046
717	0.02076
716	0.02106
715	0.02138
714	0.02172
713	0.02212
712	0.02244
711	0.02276
710	0.0231
709	0.02348
708	0.02385
707	0.02419
706	0.02453
705	0.02501
704	0.0254
703	0.02578
702	0.02615
701	0.02658
700	0.02699
699	0.0274
698	0.02785
697	0.02832
696	0.02876
695	0.02917
694	0.02967
693	0.03024
692	0.03081
691	0.03139
690	0.03207
689	0.03281
688	0.0336
687	0.03435
686	0.03521
685	0.03606
684	0.03692
683	0.03775
682	0.03871
681	0.03958
680	0.04045
679	0.04125
678	0.04213
677	0.04295
676	0.04375
675	0.04452
674	0.04532
673	0.04619
672	0.04704
671	0.04788
670	0.04878
669	0.04973
668	0.05069
667	0.05165
666	0.05264
665	0.0537
664	0.0547
663	0.05577
662	0.05686
661	0.05801
660	0.05917
659	0.06035
658	0.06157
657	0.06277
656	0.06408
655	0.06538
654	0.06672
653	0.06808
652	0.06949
651	0.07096
650	0.07244
649	0.07394
648	0.07545
647	0.07704
646	0.07863
645	0.08023
644	0.0819
643	0.0836
642	0.08539
641	0.08724
640	0.08912
639	0.09108
638	0.09306
637	0.09512
636	0.09716
635	0.09929
634	0.10146
633	0.10369
632	0.10602
631	0.10838
630	0.11079
629	0.11323
628	0.11575
627	0.11836
626	0.12097
