TITLE	G4_preAu
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	25/05/09
TIME	12:36:15
SPECTROMETER/DATA SYSTEM	
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	  800.0000
LASTX	  350.0000
NPOINTS	     451
FIRSTY	     0.03880
MAXY	     1.97285
MINY	     0.03436
XYDATA
800.0000	0.0387964
799.0000	0.0386489
798.0000	0.0385567
797.0000	0.0384743
796.0000	0.0385452
795.0000	0.0385964
794.0000	0.0385665
793.0000	0.0385768
792.0000	0.0386318
791.0000	0.038669
790.0000	0.0386193
789.0000	0.0384938
788.0000	0.0385302
787.0000	0.0384221
786.0000	0.0383761
785.0000	0.0382735
784.0000	0.0382946
783.0000	0.0381717
782.0000	0.0381548
781.0000	0.0380992
780.0000	0.0380983
779.0000	0.0379651
778.0000	0.0378388
777.0000	0.0379915
776.0000	0.0379951
775.0000	0.037976
774.0000	0.0379511
773.0000	0.0380588
772.0000	0.0381472
771.0000	0.0381387
770.0000	0.0380608
769.0000	0.0380763
768.0000	0.0380729
767.0000	0.0380693
766.0000	0.0379182
765.0000	0.0379427
764.0000	0.0378868
763.0000	0.0378684
762.0000	0.0378336
761.0000	0.0377888
760.0000	0.0377517
759.0000	0.0377906
758.0000	0.0376774
757.0000	0.0376807
756.0000	0.0376004
755.0000	0.0375891
754.0000	0.0376178
753.0000	0.0375598
752.0000	0.0374615
751.0000	0.0374537
750.0000	0.0373915
749.0000	0.0374304
748.0000	0.0374218
747.0000	0.0374108
746.0000	0.0373675
745.0000	0.0373176
744.0000	0.0372224
743.0000	0.0372197
742.0000	0.0371032
741.0000	0.0370442
740.0000	0.0368562
739.0000	0.0368212
738.0000	0.0367585
737.0000	0.0367579
736.0000	0.0366609
735.0000	0.0365647
734.0000	0.0365774
733.0000	0.0365506
732.0000	0.0366011
731.0000	0.0366639
730.0000	0.0365928
729.0000	0.0365402
728.0000	0.0365575
727.0000	0.0365014
726.0000	0.0364718
725.0000	0.0364174
724.0000	0.0363834
723.0000	0.0363832
722.0000	0.0363537
721.0000	0.0362937
720.0000	0.036203
719.0000	0.036187
718.0000	0.036121
717.0000	0.0360356
716.0000	0.0360388
715.0000	0.0360238
714.0000	0.0360487
713.0000	0.0360998
712.0000	0.0361486
711.0000	0.0362896
710.0000	0.03633
709.0000	0.0364809
708.0000	0.0365673
707.0000	0.0366533
706.0000	0.0366678
705.0000	0.0367846
704.0000	0.0368005
703.0000	0.0368047
702.0000	0.0367929
701.0000	0.0368201
700.0000	0.0368178
699.0000	0.0367285
698.0000	0.0366147
697.0000	0.0365656
696.0000	0.0364851
695.0000	0.0363099
694.0000	0.0361738
693.0000	0.0360859
692.0000	0.0359972
691.0000	0.0358824
690.0000	0.0358018
