 ,Area,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,568.099200,31.837146,22.719573,118.476270,0.607305,1.401309,0.713618,0.883117
2,572.276400,30.630973,23.787848,110.388555,0.622953,1.287673,0.776595,0.876333
3,356.454400,25.361623,17.895221,116.174566,0.729068,1.417229,0.705602,0.887348
4,540.251200,29.924071,22.987152,135.226431,0.606795,1.301774,0.768183,0.885845
5,813.161600,37.179829,27.847075,114.468208,0.760633,1.335143,0.748983,0.917518
6,407.973200,27.093695,19.172269,120.158606,0.624063,1.413171,0.707628,0.872024
7,736.579600,35.976812,26.067965,116.899310,0.678898,1.380116,0.724577,0.901193
8,644.681200,33.173299,24.743804,102.260272,0.676911,1.340671,0.745895,0.898157
9,758.858000,32.977597,29.298921,116.188010,0.709837,1.125557,0.888449,0.909850
10,602.909200,31.139563,24.651850,113.234248,0.644517,1.263174,0.791657,0.894628
11,701.769600,33.112530,26.984372,122.327432,0.657782,1.227100,0.814929,0.892035
12,708.731600,31.535381,28.615005,111.523238,0.832773,1.102058,0.907394,0.922937
13,261.771200,20.301111,16.417695,112.321795,0.608178,1.236538,0.808709,0.852608
14,2105.308800,85.256135,31.441285,137.843732,0.534778,2.711598,0.368786,0.883178
15,1147.337600,48.440369,30.157400,146.069684,0.641028,1.606251,0.622568,0.915047
16,1243.413200,49.508938,31.977314,165.501154,0.732400,1.548252,0.645890,0.925389
17,331.391200,23.101882,18.264329,132.259385,0.722795,1.264863,0.790599,0.865455
18,268.733200,19.647793,17.414767,117.518804,0.646378,1.128226,0.886347,0.871332
19,636.326800,32.906330,24.621294,159.895256,0.687484,1.336499,0.748224,0.913087
20,1090.249200,41.890233,33.137758,159.533803,0.667203,1.264124,0.791062,0.907300
21,2855.812400,69.041489,52.665917,54.828461,0.655768,1.310933,0.762815,0.918290
22,882.781600,41.363739,27.173376,89.071864,0.704176,1.522216,0.656937,0.914863
23,963.540800,44.059762,27.844414,102.386090,0.668837,1.582355,0.631969,0.905167
24,341.138000,21.916137,19.818748,137.321557,0.717673,1.105829,0.904299,0.873440
25,1329.742000,45.239946,37.424450,179.793711,0.687021,1.208834,0.827243,0.916067
26,531.896800,26.337178,25.713918,75.568659,0.801356,1.024238,0.976335,0.903073
27,317.467200,22.131710,18.263920,111.652243,0.613725,1.211772,0.825238,0.876923
28,417.720000,24.607341,21.613779,117.718065,0.720682,1.138502,0.878347,0.890208
29,619.618000,30.514212,25.854252,108.520694,0.695937,1.180240,0.847286,0.898990
30,93.290800,12.173964,9.757014,115.377561,0.692436,1.247714,0.801466,0.848101
31,412.150400,24.469483,21.445741,138.788304,0.727646,1.140995,0.876428,0.916409
32,122.531200,14.213699,10.976141,105.485571,0.722865,1.294963,0.772223,0.862745
33,285.442000,20.875373,17.409798,128.147612,0.686567,1.199059,0.833987,0.883621
34,1423.032800,50.622805,35.791411,3.801470,0.689182,1.414384,0.707021,0.921136
35,1335.311600,50.000231,34.003274,13.767461,0.686331,1.470453,0.680062,0.920787
36,260.378800,19.302337,17.175360,115.478484,0.688388,1.123839,0.889807,0.865741
37,1787.841600,57.151013,39.830451,168.452865,0.628645,1.434857,0.696933,0.910638
38,602.909200,31.548315,24.332451,139.426759,0.704523,1.296553,0.771276,0.890947
39,1443.918800,45.334802,40.552830,165.401467,0.655513,1.117920,0.894519,0.915673
40,343.922800,22.378261,19.567924,125.980001,0.775746,1.143620,0.874417,0.874336
41,551.390400,28.383502,24.734511,94.166391,0.627480,1.147526,0.871440,0.866521
42,618.225600,29.948293,26.283611,72.667352,0.765082,1.139428,0.877633,0.915464
43,607.086400,30.254386,25.548905,120.024909,0.690862,1.184175,0.844469,0.894359
44,1340.881200,53.881244,31.685663,178.670967,0.703065,1.700493,0.588065,0.930884
45,65.442800,10.093865,8.254951,137.549138,0.596905,1.222765,0.817819,0.810345
46,281.264800,19.230713,18.622162,130.378221,0.714658,1.032679,0.968355,0.872570
47,549.998000,28.820460,24.297988,101.783162,0.680647,1.186125,0.843081,0.901826
48,814.554000,36.904856,28.102599,117.935475,0.789949,1.313219,0.761488,0.921986
49,616.833200,30.631455,25.639541,168.274694,0.736983,1.194696,0.837033,0.915289
50,604.301600,29.150919,26.394389,137.293275,0.743619,1.104436,0.905439,0.906054
51,247.847200,18.415250,17.136278,101.872565,0.717347,1.074635,0.930548,0.859903
52,420.504800,24.739646,21.641512,125.266851,0.749573,1.143157,0.874770,0.892171
